掲示場番号,住所,設置場所,緯度,経度
21.1,西大井1-1,横須賀線沿い遊歩道（Ｊタワー西大井前）／西側植込み,35.600971,139.721786
21.2,西大井1-3,西大井駅前交番前／歩道植込み,35.60173,139.721924
21.3,西大井1-4-10,西大井広場／南側入口鉄柵,35.601753,139.723602
21.4,西大井2-5-21,ウェルカムセンター原／南側植込み,35.598743,139.721619
21.5,西大井2-5-21,ヘルスケアタウンにしおおい／北側フェンス,35.598743,139.721619
21.6,西大井3-1-05,出石児童遊園／フェンス,35.597771,139.72319
21.7,西大井3-16-27,出石公園／鉄柵,35.594513,139.722015
21.8,西大井4-23-12,西大井四丁目防災活動広場／植込み,35.59306,139.719299
22.1,西大井5-5-14,冨士見台中学校／正門右横コンクリート塀,35.598244,139.715698
22.2,西大井5-6-08,伊藤小学校／正門左横鉄柵,35.598679,139.716827
22.3,西大井5-7-03,富士見ケ丘児童遊園／入口右横鉄柵,35.599293,139.717026
22.4,西大井5-22-08,旧伊藤幼稚園／入口左横鉄柵,35.597347,139.717117
22.5,西大井6-1-14,原っぱ公園／入口右横鉄柵,35.601048,139.714966
22.6,西大井6-3-01,西大井六丁目ふれあい広場／植込み,35.60104,139.716187
22.7,西大井6-10-21,西大井六丁目区営住宅／フェンス,35.600117,139.719803
22.8,西大井6-17-05,西大井六丁目第二区営住宅5号棟／植込み,35.600342,139.715469
23.1,小山台1-18-24,小山台小学校／正門右横植込み,35.622478,139.703033
23.2,小山台1-20,かむろ坂（都築電気小山台ビル前）／歩道植込み,35.622498,139.704834
23.3,小山台1-30-03,かむろ坂（マートルコート目黒不動前）／歩道植込み,35.623459,139.707886
23.4,小山台1-33-8,かむろ坂（ＴＯＰ不動前前）／歩道植込み,35.624332,139.709732
23.5,小山台2-2,小山台公園／歩道植込み,35.624992,139.697952
23.6,小山台2-7,林試の森公園水車門入口／区道植込み,35.623447,139.702164
23.7,小山3-3-32,小山台高校／正門右横植込み,35.765564,139.525314
23.8,小山3-3-32,小山台高校／体育館裏側植込み,35.765564,139.525314
24.1,小山2-9-16,後地公園／公園内植込み,38.163872,140.87738
24.2,小山1-11,不動前緑道公園／公園内東側植込み,35.837685,139.786026
24.3,小山2-4-06,後地小学校／正門左横生け垣,38.164341,140.880066
24.4,荏原1-24-18,荏原さくら公園／植込み,35.61887,139.714188
24.5,小山2-13-10,星薬科大学テニスコート／入口左横フェンス,35.838066,139.780304
24.6,荏原1-4-13,わくわく広場／鉄柵,35.620052,139.712631
24.7,荏原1-21-09,中原東公園／植込み,35.618652,139.715088
24.8,荏原1-24-30,荏原第一中学校／正門右横鉄柵,35.619011,139.712677
25.1,荏原5-1-02,荏原中央公園／公園内植込み,35.615685,139.703979
25.2,小山4-4-05,補助26号線（ファミリーマート前）／ガードパイプ,35.763844,139.521484
25.3,小山4-11,武蔵小山緑道公園（小山台会館裏）／公園内植込み,35.618847,139.701462
25.4,小山5-3,武蔵小山緑道公園（西小山駅寄り）／公園内植込み,35.765675,139.518463
25.5,小山5-10-06,小山小学校／西側コンクリート塀,35.766628,139.520737
25.6,小山5-10-06,小山小学校／南側コンクリート塀,35.766628,139.520737
25.7,荏原5-2-01,三英社製作所／ブロック塀,35.615238,139.704651
25.8,荏原5-5-12,しいの木公園／植込み,35.614765,139.703232
26.1,小山5-20-09,石井宅／鉄柵,35.616356,139.700256
26.2,小山5-20-19,荏原第六中学校／北側鉄柵,35.6161,139.699677
26.3,小山6-7-02,立会道路（東ビル前）／歩道植込み,35.614655,139.699768
26.4,小山6-12,西小山緑道公園／公園内北側植込み,35.614147,139.697311
26.5,小山6-21-11,立会道路（シティハウス西小山前）／歩道植込み,35.612854,139.70079
26.6,小山6-23-11,コーポ洗足／フェンス,35.612537,139.699112
26.7,小山6-26,西小山緑道公園／公園内南側植込み,35.612419,139.696579
26.8,荏原5-6-05,荏原区民センター／生け垣,35.614418,139.70163
27.1,荏原2-3,星薬科大学／私道植込み,35.617485,139.71228
27.2,荏原2-9-06,荏原保健センター／旧道沿い植込み,35.617012,139.711105
27.3,荏原2-16-18,荏原保育園／フェンス,35.616657,139.708725
27.4,荏原3-3-10,荏三公園／フェンス,35.617985,139.707489
27.5,荏原4-5-02,スクエア荏原（平塚公園）／植込み,35.615265,139.707932
27.6,荏原4-5-22,平塚幼稚園／入口脇植込み,35.615055,139.707306
27.7,荏原2-9-06,荏原保健センター／中原街道側植込み,35.617012,139.711105
27.8,荏原4-16-11,荏原西保育園／入口脇フェンス,35.613861,139.705963
28.1,小山7-14-18,小山在宅介護支援センター／鉄柵,35.609013,139.696335
28.2,荏原6-16-04,荏原南公園／北東側入口植込み,35.611259,139.703339
28.3,荏原6-16-04,立会道路（荏原南公園前）／植込み,35.611259,139.703339
28.4,荏原6-17-12,荏原第二地域センター／植込み,35.611172,139.704514
28.5,荏原7-5-14,小山八幡神社／西側万年塀,35.612057,139.700058
28.6,荏原7-18-15,洗足うさぎ幼稚園／フェンス,35.609787,139.698715
28.7,旗の台1-6-01,第二延山小学校／東側鉄柵,35.609879,139.703659
28.8,旗の台1-6-01,第二延山小学校／西側鉄柵,35.609879,139.703659
29.1,旗の台1-11-17,清水台小学校／フェンス,35.606895,139.702454
29.2,旗の台1-11-17,清水台小学校／正門左側コンクリ－ト塀,35.606895,139.702454
29.3,旗の台5-19-09,旗の台公園／北側タイル塀,35.603848,139.700302
29.4,旗の台1-5-08,立会道路（昭和大学病院前）／歩道植込み,35.608479,139.703583
29.5,旗の台6-22-21,香蘭女学校／西側フェンス,35.606686,139.701691
29.6,旗の台6-22-24,三光教会／中原街道側壁面,35.606434,139.701263
29.7,旗の台6-29-11,中原街道（エクセリア旗の台前）／歩道植込み,35.604439,139.698349
